crop,disease_info
tomato,Tomatoes are prone to early blight, late blight and leaf mold diseases.
potato,Potatoes often suffer from late blight and early blight.
corn (maize),Corn may be affected by common rust and leaf blight.
grape,Grapes can develop black rot and downy mildew.
apple,Apple trees commonly face apple scab and cedar rust.
Rice,Rice crops are commonly affected by leaf blast and brown spot.
Cassava,Cassava suffers from mosaic disease and bacterial blight.
orange,Citrus greening disease is common in oranges.
peach,Peach leaf curl and bacterial spot are major peach diseases.
pepper, bell,Bell peppers often develop bacterial spot disease.
squash,Squash plants commonly get powdery mildew.
strawberry,Strawberries may develop leaf scorch and gray mold.
cherry (including sour),Cherries are prone to leaf spot and powdery mildew.
